name,phone,principal_contact,url,address,accreditation_status
Doctors Billing Pros,(619) 229-2124,Mr. Lamont Wolfe,https://www.drbillingpros.com,"PO Box 152865, San Diego, CA, 92195, USA",False
LPL Medical Billing Service,(301) 831-8957,Lachee Lewis,https://lplmedbill.com/,"3606 John Simmons Ct, Frederick, MD, 21704-7815, USA",False
Prescott Medical Billing Services,(928) 533-5060,Mr. Kenneth Ficek,https://www.ethicalcommunity.org/prescottmedicalbillingservices,"Prescott, AZ, 86303-4132, USA",False
Quality Medical Billing Service,(503) 253-1653,Ms. Kay Holmes,https://www.qmbs-medical-billing-service.com,"1404 SE 151st Ave, Portland, OR, 97233-3054, USA",False
DDR Medical Billing & Consultants,(602) 888-7063,Ms. Donna Suchil,https://www.ddrbilling.com,"2735 W Sweetwater Ave, Phoenix, AZ, 85029-1311, USA",False
Billing Partners Solution,(602) 675-0161,Ms. Ruth M Gonzalez,https://billingpartnerssolution.com/,"5224 N 40th Dr, Phoenix, AZ, 85019-2436, USA",True
Easy Billing Services,(619) 246-2695,Ms. Danielle Gonzales,https://www.easybillingservices.com,"1641 Burton St, San Diego, CA, 92111-7526, USA",True
Clinical Billing Solutions,(888) 550-2112,Mr. Jack Van Berkel,https://www.clinicalbillingsolutions.com/,"Orange, CA, 92868-2051, USA",False
Billing Business Specialists,(520) 316-9405,Mrs. Jeri E. Theiler,https://www.billingbusinessspecialists.com,"PO Box 3121, Arizona City, AZ, 85123-0828, USA",False
Orange Sterling Billing,(480) 843-5143,Mrs. Lauren Rundall,https://orangesterlingbilling.com/,"10000 N 31st Ave Ste D214, Phoenix, AZ, 85051-2001, USA",True
KSN Billing & Collections,(855) 469-0959,Robin Bailey,https://www.ksnbilling.com,"Newark, NJ, 07103-3378, USA",False
Young's Billing & Consulting,(716) 408-2525,Mr. Daniel J. Young,https://www.youngsbc.com,"Williamsville, NY, 14221-2609, USA",True
American Medical Billing Association (AMBA),(580) 369-2700,,https://www.americanmedicalbillingassociation.com/,"2465 E Main St, Davis, OK, 73030-2979, USA",True
Certified Healthcare Billing,(626) 791-9004,Julia Tashchyan,https://chbmdbilling.com/,"8055 Foothill Blvd, Sunland, CA, 91040-2943, USA",True
ELS Medical Billing Group LLC,(888) 927-7894,Ms. Ericia L. Smith,https://www.elsmedicalbillinggroup.net/,"Lagrange, GA, 30240-1158, USA",True
"RDY Billing Solutions, LLC",(646) 916-0643,Ms. Regina Young,https://www.rdybillingsolutions.com/,"Monroe, NC, 28112-4523, USA",False
Home Sweet Billing LLC,(208) 570-1752,Ms. Jodie M Crane,https://homesweetbilling.com/,"Boise, ID, 83705-2077, USA",False
DeMonte Medical Billing Solutions LLC,(888) 924-3627,Ms. Joanne Demonte,https://dmbsllc.net/,"1000 Clay Ave, Jeannette, PA, 15644-3466, USA",False
Results Insurance Billing LLC,(541) 393-8595,Ms. Kerrie Martinez,https://www.resultsinsurancebilling.com/,"1235 NE McRae Ct, Prineville, OR, 97754, USA",False
Pro Med Billing Associates,(855) 630-9900,Sadna Mohan,https://www.promedba.com,"800 S Frontenac St # 3, Aurora, IL, 60504-3122, USA",False
Excellent Medical Billing Service (EMBS),(407) 302-4606,Lillian M. Ramos,https://excellentmbs.com,"401 E 1st St Unit 2939, Sanford, FL, 32772-7620, USA",False
Blue Sky Billing Solutions,(772) 429-0692,Ms. Debbie Drennan,https://blueskybillingsolutions.com/medical-billing/,"101 N US Highway 1 STE 118, Fort Pierce, FL, 34950-4254, USA",False
"Administrative Billing Solutions, Inc.",(715) 303-7696,Ms. Kari S. Behlmer,https://www.billingsolutions.us,"1226 Archer Ln, Eau Claire, WI, 54703-0605, USA",False
D&S Medical Billing Services Inc,(949) 388-0108,Ms. Shahnaz Lewis,https://www.dandsmedbilling.com,"PO Box 7526, Laguna Niguel, CA, 92607-7526, USA",False
A+ Medical Billing,(949) 308-0332,Ms. Abeer Marogi,https://Aplusbillers.com,"Lake Forest, CA, 92630-3637, USA",False
Integrity Billing & Consulting LLC,(503) 582-8188,Ms. Ginette M Zuras-Hummel,https://www.integritybillingconsulting.com/,"8855 SW Holly Ln Ste 125, Wilsonville, OR, 97070-8793, USA",False
Billing Dynamix,(727) 386-9497,Mr. Thomas Jorno,https://billingdynamix.com/,"2857 Executive Dr STE 200, Clearwater, FL, 33762-5584, USA",False
Draper Precision Billing & Coding,(928) 221-8961,Mr. Travis Draper,https://www.dpbillingcoding.com,"Flagstaff, AZ, 86004-5455, USA",False
Medical Billing Unlimited,(717) 369-4417,Ms. April Wingert,https://www.mbuinc.com,"4514 Rockdale Rd, Greencastle, PA, 17225-8000, USA",False
Acom Medical Billing,(480) 545-2610,Mr. Patrick McMahon,https://acommedicalbilling.com,"1094 S Gilbert Rd Ste 203, Gilbert, AZ, 85296-3481, USA",False
Greensense Billing,(909) 698-8022,Ms. Angel Salazar,https://greensensebilling.com/,"495 E Rincon St STE 206, Corona, CA, 92879, USA",False
SmileBound Billing,(803) 200-1899,Ms. Dawn Walker,https://smileboundbilling.com,"Millville, NJ, 08332-4602, USA",True
Operation Billing,(888) 723-5962,Mr. Steve Herrera,https://www.operationbilling.com,"4500 Mercantile Plaza Dr Ste 300, Fort Worth, TX, 76137-4206, USA",False
Sirius Medical Billing,(360) 398-0878,Ms. Catherine Campbell,https://siriusmedicalbilling.com/,"Bellingham, WA, 98225-3100, USA",False
PDXPERT Medical Billing,(503) 860-8913,Ms. Cortney Rouse,https://www.pdxpertmedicalbilling.com/,"Portland, OR, 97220-2709, USA",False
Armedix Medical Billing,(405) 418-4506,Mr. Randall Murray,https://armedix.com/,"3705 W Memorial Rd Ste 1304, Oklahoma City, OK, 73134-1503, USA",False
Element Medical Billing,,Jared Turner,https://elementmedicalbilling.com/,"2000 SE Port St Lucie Blvd Suite B, Port Saint Lucie, FL, 34952, USA",False
Talbert's Medical Billing,(337) 855-9023,Mary Talbert,https://www.talbertsmedical.com,"109 Executive Drive Suite C, Lake Charles, LA, 70611, USA",True
Medical Billing Specialists,(503) 387-5436,Mr. Kevin Worden,https://www.medicalbillingspecialists.net,"Everett, WA, 98201-1874, USA",False
Medical Billing Solutions,,Ms. Mickey Perry,https://www.medbillingsolutions.net,"801 E Woodcroft Pkwy Apt 724, Durham, NC, 27713-8268, USA",False
Maximus Medical Billing,(240) 489-6260,Dr. Maria Jison,https://www.maximusmed.com/,"11006 Veirs Mill Rd PMB 261, Silver Spring, MD, 20902-2582, USA",False
Stanford Medical Billing,(559) 438-1245,Bette Stanford,https://www.stanfordmedicalbilling.com/,"550 E Herndon Ave Ste 105A, Fresno, CA, 93720-2992, USA",False
Medical Billing Alternatives,(615) 329-8226,Carla Anderson,https://www.billingyourway.com,"136 S Cannon Ave, Murfreesboro, TN, 37129-3506, USA",False
Advantage Medical Billing,(530) 345-7699,Ms. Jennifer Redeker,https://www.advmedbil.com,"Chico, CA, 95973-5827, USA",True
"Montana Medical Billing, L.L.C.",(406) 227-7065,Mrs. Morgan Williams,https://mtmedicalbill.com/,"3200 Trumble Creek Rd, Columbia Fls, MT, 59912-9048, USA",True
Telfonix Medical Billing,(941) 483-6633,,https://telfonix.com/,"890 Hillcrest Drive, Nokomis, FL, 34275, USA",False
Billing Paradise,(888) 571-9069,Venkat Aravamudhan,https://www.billingparadise.com/,"732 N Diamond Bar Blvd STE 110, Diamond Bar, CA, 91765-1043, USA",False
ePsych Billing,(323) 374-5479,Mr. Alexander Zaki,https://epsychbilling.com/,"2300 W Sahara Ave Ste 800, Las Vegas, NV, 89102-4397, USA",False
Digital Med Billing Solutions LLC,(407) 377-5484,,https://digi-medbilling.com,"1322 N Pine Hills Rd, Orlando, FL, 32808-4832, USA",False
Ultimate Billing,(469) 744-5853,Ms. Marina Adelman,https://www.resolvhealthcare.com,"1600 Division Rd Ste 2000, West Warwick, RI, 02893-7574, USA",False
Billing Depot,(609) 371-8920,Ms. Patricia Freeze,https://billingdepot.com/,"415 Dutch Neck Rd, East Windsor, NJ, 08520-1201, USA",False
Allstars Medical Billing,(501) 424-0123,"Mr. Muhammad ""Imran"" Siddique",https://allstarsmb.com/,"2121 N California Blvd Ste 243, Walnut Creek, CA, 94596-3572, USA",False
Nexus Medical Billing,(877) 842-5246,Ms. Lauren K Hardison,https://nexusmedicalbilling.com,"150 Pinellas Bayway S, Tierra Verde, FL, 33715-1708, USA",False
Accelerated Medical Billing,(813) 817-5602,,https://accelerated-mb.com/,"1209 1st St NE, Saint Petersburg, FL, 33701-1811, USA",False
Medical Billing Solutions,(725) 241-7862,Ms. Melissa Mateo,https://medicalbillinglasvegas.com/,"3924 N Torrey Pines Dr, Las Vegas, NV, 89108-5900, USA",False
Savant Medical Billing,(360) 567-7154,Ms. Susanne Noga,https://www.positivevibes4u.com/,"6119 NE 103rd Ct, Vancouver, WA, 98662, USA",False
Atticus Medical Billing,(800) 960-4662,,https://atticusbilling.com/,"5776 Lindero Canyon Road Suite D-451, Thousand Oaks, CA, 91362, USA",False
Revu Billing,(888) 999-9744,Business Manager,https://revubilling.com/,"175 S Bloomingdale Rd, Bloomingdale, IL, 60108, USA",False
Endless Billing,(877) 927-1619,Wendely Moodie-Naranjo,https://endlessbilling.com,"6167 Reseda blvd, tarzana, CA, 91335, USA",False
EasyCare Billing,(609) 840-7792,,https://www.easycarebilling.com,"105 Daniel Ct, Kendall Park, NJ, 08824-1530, USA",False
WesDak Medical Billing,(605) 255-5507,Julie Baker,https://wesdakmedicalbilling.com/,"809 South St Ste 210, Rapid City, SD, 57701-3583, USA",True
Human Medical Billing,(877) 669-1070,Ms. Kara Wily,https://humanmedical.net,"Castaic, CA, 91384-3826, USA",True
Prosperity Medical Billing,(606) 207-6318,,https://prosperitybill.com/,"Bowling Green, KY, 42103-7116, USA",False
Renaissance Medical Billing,(423) 877-2312,Mr. Durie Andrews,https://trustrps.com,"3917 Volunteer Dr STE 5, Chattanooga, TN, 37416-3876, USA",False
"MedNet Medical Billing and Collection Services, Inc.",(505) 341-0070,Ms. Jen Jaciw,https://mednetinc.com,"7801 Academy Rd NE Bldg 2 Ste 102, Albuquerque, NM, 87109-3379, USA",False
"Professional Billing, Inc",(877) 696-6589,Mr. Daniel Crocker,https://www.mypbi.com/,"PO Box 1026, Powell, OH, 43065-1026, USA",False
CF Medical Billing LLC,(352) 536-8140,Theresa Stone,https://www.cfmedicalbilling.com,"3705 S Highway 27 STE 203, Clermont, FL, 34711-7950, USA",True
Eastern Medical Billing LLC,(252) 269-4807,,https://www.easternmedicalbilling.com/,"Havelock, NC, 28532-2367, USA",True
Cardinal Medical Billing LLC,(360) 863-6186,Ms. Krystee Nixon,https://www.cardinalmedicalbilling.com/,"Snohomish, WA, 98290-7214, USA",False
Independent Medical Billing LLC,(602) 349-5869,Ms. Christina Miller,https://independentmed.co/,"Phoenix, AZ, 85033-1856, USA",False
Providers Medical Billing LLC,(954) 990-3693,Yadira Martinez,https://www.providersbilling.com/,"9326 W 33rd Ln, Hialeah, FL, 33018-2068, USA",False
Transcend Medical Billing LLC,(425) 654-0001,Ms. Sally Thompson,https://transcendmedicalbilling.com/,"22510 SE 64th Pl Ste 130, Issaquah, WA, 98027, USA",False
Efficient Medical Billing Service,(503) 384-2988,Mr. David Waite,https://www.efficientmbs.com/,"6635 N Baltimore Ave # 236, Portland, OR, 97203-5454, USA",False
Premier Medical Billing LLC,(503) 810-8166,Ms. Loubna Ezat Agha,https://premiermedbill.com,"West Linn, OR, 97068-9277, USA",False
Online Medical Billing Solutions,,Ms. Michele Shamell,https://www.onlinemedicalbillingstat.com,"876 N Mountain Ave STE 200T, Upland, CA, 91786-4166, USA",False
Valley View Medical Billing,(888) 853-6043,Ms. Lindsey Weatherford,https://valleyviewmedicalbilling.com/,"30141 Antelope Rd Ste D340, Menifee, CA, 92584-7001, USA",False
West Medical Billing Services,(541) 266-9038,Ms. Joy M West,https://www.facebook.com/West-Medical-Billing-Services-107901373106/,"96772 FOX TROT LANE, Coos Bay, OR, 97420, USA",False
Carolina Medical Billing Inc,(704) 708-5054,Mr. Matthew Pomponio,https://carolinamedicalbilling.com,"317 Matthews Mint Hill Rd Ste 210, Matthews, NC, 28105-2895, USA",False
Vista Medical Billing LLC,(720) 389-5995,Mr. Scott Klohs,https://vistabillingservices.com,"2851 S Parker Rd #1-0730, Aurora, CO, 80014, USA",False
BC Medical Billing LLC,(844) 607-1980,Ms. Belinda Caballero,https://www.bcbilling.com,"2001 Tyler St Ste 211, Hollywood, FL, 33020-4578, USA",False
Cherry Medical Billing Solutions,(503) 983-4722,Ms. Sheryl Lynn Abid,https://www.cherrymedicalbillingsolutions.com,"Salem, OR, 97306-1959, USA",True
Advanced Medical Billing Company,(732) 286-4646,Ms. Elena Hammer,https://advancedmedicalbillingnj.com/,"231 Azalea Ct, Toms River, NJ, 08753-1330, USA",False
Professional Medical Billing Group,(734) 641-9991,Ms. Debbie Magill,https://www.pmbgroup.net,"1515 S Wayne Rd, Westland, MI, 48186-5436, USA",True
Genesis Medical Billing Services,(800) 879-5015,Ms. Susan Sabadach,https://www.genesismbs.com,"6421 Camp Bowie Blvd, Fort Worth, TX, 76116-5401, USA",True
Indiana Preferred Medical Billing,(888) 941-3238,Ms. Jill McCarthy,https://www.preferredmedicalbilling.com,"PO Box 112, Muncie, IN, 47308-0112, USA",False
Elite Medical Billing LLC,,Mr. Forrest Vance,https://elitebilling.net/,"1200 Woodruff Rd Ste G22, Greenville, SC, 29607-5735, USA",True
AMBS Medical Billing Services,(304) 363-7000,Mr. Bryan K Towns,https://www.ambsinc.com,"100 Avery Olivia Way Ste C, Fairmont, WV, 26554-9375, USA",False
Benedict Billing Solutions,(805) 587-5108,Ms. Joan Palmeiri,https://www.bbsmedbill.com,"PO Box 871, Simi Valley, CA, 93062-0871, USA",False
Rainier Billing LLC,(360) 474-3836,Ms. Brandi Goellner,https://www.rainierbilling.com/,"Marysville, WA, 98270-6854, USA",False
Medical Billing Solutions Inc,(800) 596-5387,,https://medicalbilling4u.com,"503 Buckeye Dr Ste 100, Troy, IL, 62294-2347, USA",False
Rapid Return Medical Billing,(218) 829-2455,Jake Tiggelaar,https://www.rrmb.com,"2011 S 6th St, Brainerd, MN, 56401-4528, USA",False
Sublime Billing Services,(949) 300-1657,Mr. Michael Priesing,https://sublimebilling.com,"2414 S Fairview St Ste 215, Santa Ana, CA, 92704-5318, USA",False
"Medical Billing Concepts, Inc.",(800) 436-9305,Mr. Dana Thompson,https://www.medicalconcepts.com,"211 S Federal Hwy 7 & 8, Boynton Beach, FL, 33435, USA",False
Lauren Wadsworth Medical Billing,(972) 383-4489,Ms. Lauren Wadswroth,https://www.laurenwadsworthmedicalbilling.com/,"120 E FM 544 Ste. 72, PMB 460, Murphy, TX, 75094, USA",False
"Medical Billing Technologies, Inc.",(559) 627-6267,Ms. Roberta Stephens,https://www.mbt4schools.com,"PO Box 709, Visalia, CA, 93279-0709, USA",False
Advantage Billing Services,(206) 795-3781,Ms. Melinda Cook,https://advantagebilling.org/,"11631 NE 155th St, Kirkland, WA, 98034-4659, USA",False
Penny Lane Medical Billing,(714) 519-6130,Ms. Daphne Carrico,https://www.pennylanemedicalbilling.com,"Orange, CA, 92869, USA",False
Liberty Billing LLC,(425) 218-1944,Mrs. Lisa Schmidt,https://www.libertybillingllc.com,"74401 Hovley Lane East Apt 418, Palm Desert, CA, 92260, USA",False
Unified Billing LLC,(425) 939-1293,Ms. Monica Severtsen,https://unifiedbilling.net/,"12100 NE 195th St Ste 325, Bothell, WA, 98011-5768, USA",False
Billing Solutions Unlimited,(888) 692-5592,Ms. Kenya Batts,https://www.bsunc.com/,"261 Whetstone Ct., Rocky Mount, NC, 27804, USA",False
Guardian Billing LLC,(612) 730-3502,Melinda M Flaig,https://guardianbill.com/,"1715 Fox Run, Shakopee, MN, 55379, USA",False
Kingston Medical Billing LLC,(317) 854-7109,Ms. Tommara Montgomery,https://www.kingstonbilling.org/,"Indianapolis, IN, 46256-3461, USA",False
Physician Billing Service,(254) 308-2225,Ms. Shirley Cox,https://physicianbillingservice.net,"595 Round Rock West Dr Ste 403, Round Rock, TX, 78681-5031, USA",False
Mercer Billing Services,(971) 333-8250,Ms. Jae Mercer,https://mercerbillingservi.wixsite.com/mercerbilling,"Richland, WA, 99352-8421, USA",False
